127.0.0.1 - - [05/Dec/2015:14:39:04 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:17 -0500] "GET /StrutsAjax/Logon.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:17 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:26 -0500] "GET /StrutsAjax/UserRegistration.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:28 -0500] "GET /StrutsAjax/Logon.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:30 -0500] "GET /StrutsAjax/UserRegistration.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:42 -0500] "POST /StrutsAjax/RegisterForFiveCardStudPoker.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:53 -0500] "POST /StrutsAjax/logonToFiveCardStudPoker.html HTTP/1.1" 200 7038
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:53 -0500] "GET /StrutsAjax/js/jquery-1.6.2.js HTTP/1.1" 200 245191
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:42:58 -0500] "POST /StrutsAjax/newGame.html HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:43:21 -0500] "GET /StrutsAjax/UserRegistration.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:43:30 -0500] "POST /StrutsAjax/RegisterForFiveCardStudPoker.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:43:46 -0500] "POST /StrutsAjax/RegisterForFiveCardStudPoker.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:43:54 -0500] "POST /StrutsAjax/logonToFiveCardStudPoker.html HTTP/1.1" 200 7038
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:43:54 -0500] "GET /StrutsAjax/js/jquery-1.6.2.js HTTP/1.1" 200 245191
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:43:57 -0500] "POST /StrutsAjax/joinGame2.html HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:44:05 -0500] "POST /StrutsAjax/joinGameNow.html?gamePlayer1UserName=LFreeman8 HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:10 -0500] "POST /StrutsAjax/raise.html?betAmount=0.75 HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:15 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:20 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:25 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:30 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:31 -0500] "GET /StrutsAjax/logonToFiveCardStudPoker.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:35 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:37 -0500] "GET /StrutsAjax/UserRegistration.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:40 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:45 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:47 -0500] "GET /StrutsAjax/Logon.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:50 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:45:55 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:00 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:05 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
